x,y
0.4557,7.948e-06
0.4567,7.532e-06
0.4577,7.111e-06
0.4587,6.684e-06
0.4597,6.251e-06
0.4607,5.814e-06
0.4617,5.373e-06
0.4627,4.926e-06
0.4637,4.476e-06
0.4647,4.022000000000001e-06
0.4657,3.565e-06
0.4667,3.1050000000000003e-06
0.4677,2.643e-06
0.4687,2.1800000000000003e-06
0.4697,1.7160000000000002e-06
0.4707,1.252e-06
0.4717,7.900000000000001e-07
0.4727,3.3e-07
0.4737,-1.27e-07
0.4747,-5.81e-07
0.4757,-1.03e-06
0.4767,-1.474e-06
0.4777,-1.912e-06
0.4787,-2.3419999999999998e-06
0.4797,-2.765e-06
0.4807,-3.18e-06
0.4817,-3.585e-06
0.4827,-3.98e-06
0.4837,-4.364e-06
0.4847,-4.7349999999999996e-06
0.4857,-5.094e-06
0.4867,-5.437e-06
0.4877,-5.764e-06
0.4887,-6.0720000000000005e-06
0.4897,-6.361000000000001e-06
0.4907,-6.63e-06
0.4917,-6.876e-06
0.4927,-7.097e-06
0.4937,-7.294e-06
0.4947,-7.463e-06
0.4957,-7.6039999999999995e-06
0.4967,-7.716e-06
0.4977,-7.796e-06
0.4987,-7.842e-06
0.4997,-7.854999999999998e-06
0.5007,-7.832e-06
0.5017,-7.771e-06
0.5027,-7.673000000000001e-06
0.5037,-7.539e-06
0.5047,-7.373e-06
0.5057,-7.177e-06
0.5067,-6.955e-06
0.5077,-6.71e-06
0.5087,-6.4440000000000005e-06
0.5097,-6.161e-06
0.5107,-5.8630000000000004e-06
0.5117,-5.554e-06
0.5127,-5.236e-06
0.5137,-4.913e-06
0.5147,-4.588e-06
0.5157,-4.262e-06
0.5167,-3.941e-06
0.5177,-3.626e-06
0.5187,-3.32e-06
0.5197,-3.0270000000000004e-06
0.5207,-2.7490000000000003e-06
0.5217,-2.485e-06
0.5227,-2.235e-06
0.5237,-1.996e-06
0.5247,-1.769e-06
0.5257,-1.551e-06
0.5267,-1.341e-06
0.5277,-1.139e-06
0.5287,-9.43e-07
0.5297,-7.510000000000001e-07
0.5307,-5.63e-07
0.5317,-3.76e-07
0.5327,-1.91e-07
0.5337,-6e-09
0.5347,1.8100000000000002e-07
0.5357,3.7100000000000003e-07
0.5367,5.65e-07
0.5377,7.64e-07
0.5387,9.69e-07
0.5397,1.1800000000000001e-06
0.5407,1.395e-06
0.5417,1.613e-06
0.5427,1.8320000000000002e-06
0.5437,2.0500000000000003e-06
0.5447,2.267e-06
0.5457,2.481e-06
0.5467,2.69e-06
0.5477,2.892e-06
0.5487,3.087e-06
0.5497,3.272e-06
0.5507,3.447e-06
0.5517,3.6089999999999997e-06
0.5527,3.757e-06
0.5537,3.891e-06
0.5547,4.007e-06
0.5557,4.1050000000000005e-06
0.5567,4.184e-06
0.5577,4.243000000000001e-06
0.5587,4.285e-06
0.5597,4.3119999999999995e-06
0.5607,4.327e-06
0.5617,4.331e-06
0.5627,4.326e-06
0.5637,4.316000000000001e-06
0.5647,4.301e-06
0.5657,4.285e-06
0.5667,4.269e-06
0.5677,4.256e-06
0.5687,4.247e-06
0.5697,4.245e-06
0.5707,4.252e-06
0.5717,4.270000000000001e-06
0.5727,4.3020000000000005e-06
0.5737,4.35e-06
0.5747,4.415e-06
0.5757,4.498e-06
0.5767,4.597e-06
0.5777,4.7080000000000005e-06
0.5787,4.83e-06
0.5797,4.96e-06
0.5807,5.0949999999999995e-06
0.5817,5.232e-06
0.5827,5.37e-06
0.5837,5.504e-06
0.5847,5.634000000000001e-06
0.5857,5.755e-06
0.5867,5.865999999999999e-06
0.5877,5.964e-06
0.5887,6.046e-06
0.5897,6.11e-06
0.5907,6.152999999999999e-06
0.5917,6.172e-06
0.5927,6.166e-06
0.5937,6.131e-06
0.5947,6.067999999999999e-06
0.5957,5.978e-06
0.5967,5.86e-06
0.5977,5.7149999999999995e-06
0.5987,5.543e-06
0.5997,5.345e-06
0.6007,5.12e-06
0.6017,4.869e-06
0.6027,4.591999999999999e-06
0.6037,4.2900000000000004e-06
0.6047,3.962e-06
0.6057,3.6089999999999997e-06
0.6067,3.232e-06
0.6077,2.83e-06
0.6087,2.403e-06
0.6097,1.953e-06
0.6107,1.4790000000000002e-06
0.6117,9.810000000000002e-07
0.6127,4.6200000000000003e-07
0.6137,-7.8e-08
0.6147,-6.359999999999999e-07
0.6157,-1.212e-06
0.6167,-1.804e-06
0.6177,-2.409e-06
0.6187,-3.028e-06
0.6197,-3.6570000000000003e-06
0.6207,-4.296e-06
0.6217,-4.943000000000001e-06
0.6227,-5.596e-06
0.6237,-6.255e-06
0.6247,-6.916e-06
0.6257,-7.58e-06
0.6267,-8.244e-06
0.6277,-8.906e-06
0.6287,-9.566e-06
0.6297,-1.0221e-05
0.6307,-1.0871000000000001e-05
0.6317,-1.1517e-05
0.6327,-1.2156e-05
0.6337,-1.279e-05
0.6347,-1.3417e-05
0.6357,-1.4038e-05
0.6367,-1.4652e-05
0.6377,-1.5259e-05
0.6387,-1.5858e-05
0.6397,-1.645e-05
0.6407,-1.7033e-05
0.6417,-1.7607999999999998e-05
0.6427,-1.8174e-05
0.6437,-1.8731e-05
0.6447,-1.9278e-05
0.6457,-1.9816e-05
0.6467,-2.0343e-05
0.6477,-2.0861000000000002e-05
0.6487,-2.1367e-05
0.6497,-2.1861e-05
0.6507,-2.2343e-05
0.6517,-2.2811999999999998e-05
0.6527,-2.3268e-05
0.6537,-2.3709000000000003e-05
0.6547,-2.4135000000000002e-05
0.6557,-2.4545000000000003e-05
0.6567,-2.4937999999999997e-05
0.6577,-2.5315e-05
0.6587,-2.5674e-05
0.6597,-2.6014e-05
0.6607,-2.6335e-05
0.6617,-2.6636e-05
0.6627,-2.6916e-05
0.6637,-2.7175000000000003e-05
0.6647,-2.7411999999999998e-05
0.6657,-2.7626999999999998e-05
0.6667,-2.782e-05
0.6677,-2.7992e-05
0.6687,-2.8147e-05
0.6697,-2.8286e-05
0.6707,-2.8411e-05
0.6717,-2.8525e-05
0.6727,-2.8629000000000003e-05
0.6737,-2.8726000000000002e-05
0.6747,-2.8818e-05
0.6757,-2.8906e-05
0.6767,-2.8994e-05
0.6777,-2.9082e-05
0.6787,-2.9173e-05
0.6797,-2.9270000000000003e-05
0.6807,-2.9374e-05
0.6817,-2.9487e-05
0.6827,-2.9612e-05
0.6837,-2.9749999999999998e-05
0.6847,-2.9902000000000003e-05
0.6857,-3.0068e-05
0.6867,-3.0245000000000003e-05
0.6877,-3.0431e-05
0.6887,-3.0625e-05
0.6897,-3.0825000000000004e-05
0.6907,-3.103e-05
0.6917,-3.1237e-05
0.6927,-3.1445e-05
0.6937,-3.1652e-05
0.6947,-3.1857000000000003e-05
0.6957,-3.2058000000000004e-05
0.6967,-3.2253e-05
0.6977,-3.2439999999999994e-05
0.6987,-3.2618000000000005e-05
0.6997,-3.2785000000000005e-05
0.7007,-3.2939000000000004e-05
0.7017,-3.3078000000000004e-05
0.7027,-3.3202000000000005e-05
0.7037,-3.3311e-05
0.7047,-3.3406e-05
0.7057,-3.3486000000000004e-05
0.7067,-3.3553e-05
0.7077,-3.3608e-05
0.7087,-3.3652e-05
0.7097,-3.3684e-05
0.7107,-3.3705e-05
0.7117,-3.3718e-05
0.7127,-3.3721000000000005e-05
0.7137,-3.3716e-05
0.7147,-3.3703e-05
0.7157,-3.3684e-05
0.7167,-3.3658e-05
0.7177,-3.3626999999999995e-05
0.7187,-3.3591000000000004e-05
0.7197,-3.3551e-05
0.7207,-3.3508000000000005e-05
0.7217,-3.3461e-05
0.7227,-3.3412e-05
0.7237,-3.336e-05
0.7247,-3.3306e-05
0.7257,-3.3249e-05
0.7267,-3.3191e-05
0.7277,-3.3131e-05
0.7287,-3.3069000000000005e-05
0.7297,-3.3006e-05
0.7307,-3.2942e-05
0.7317,-3.2878e-05
0.7327,-3.2812000000000004e-05
0.7337,-3.2747e-05
0.7347,-3.2681e-05
0.7357,-3.2615e-05
0.7367,-3.2550000000000005e-05
0.7377,-3.2486e-05
0.7387,-3.2422e-05
0.7397,-3.2359e-05
0.7407,-3.2297e-05
0.7417,-3.2235e-05
0.7427,-3.2175e-05
0.7437,-3.2116e-05
0.7447,-3.2057e-05
0.7457,-3.2e-05
0.7467,-3.1943e-05
0.7477,-3.1888000000000004e-05
0.7487,-3.1833e-05
0.7497,-3.1780000000000004e-05
0.7507,-3.1726999999999996e-05
0.7517,-3.1676000000000006e-05
0.7527,-3.1625e-05
0.7537,-3.1576e-05
0.7547,-3.1528e-05
0.7557,-3.1480000000000004e-05
0.7567,-3.1434e-05
0.7577,-3.1389e-05
0.7587,-3.1345e-05
0.7597,-3.1301000000000004e-05
0.7607,-3.1258000000000005e-05
0.7617,-3.1213999999999996e-05
0.7627,-3.1171000000000004e-05
0.7637,-3.1128e-05
0.7647,-3.1084e-05
0.7657,-3.104e-05
0.7667,-3.0995000000000004e-05
0.7677,-3.0949000000000005e-05
0.7687,-3.0901999999999997e-05
0.7697,-3.0854e-05
0.7707,-3.0804000000000005e-05
0.7717,-3.0752e-05
0.7727,-3.0699e-05
0.7737,-3.0643e-05
0.7747,-3.0585e-05
0.7757,-3.0525e-05
0.7767,-3.0463e-05
0.7777,-3.04e-05
0.7787,-3.0335e-05
0.7797,-3.0271e-05
0.7807,-3.0206000000000002e-05
0.7817,-3.0142e-05
0.7827,-3.0079e-05
0.7837,-3.0017e-05
0.7847,-2.9957e-05
0.7857,-2.9899e-05
0.7867,-2.9843000000000002e-05
0.7877,-2.9791000000000003e-05
0.7887,-2.9743e-05
0.7897,-2.9699e-05
0.7907,-2.9659000000000002e-05
0.7917,-2.9624000000000003e-05
0.7927,-2.9595e-05
0.7937,-2.9571000000000002e-05
0.7947,-2.9551999999999998e-05
0.7957,-2.9536e-05
0.7967,-2.9522e-05
0.7977,-2.9510000000000004e-05
0.7987,-2.9498e-05
0.7997,-2.9485e-05
0.8007,-2.947e-05
0.8017,-2.9452e-05
0.8027,-2.943e-05
0.8037,-2.9402e-05
0.8047,-2.9369e-05
0.8057,-2.9328e-05
0.8067,-2.9279e-05
0.8077,-2.922e-05
0.8087,-2.915e-05
0.8097,-2.9069000000000002e-05
0.8107,-2.8975000000000003e-05
0.8117,-2.8867e-05
0.8127,-2.8747e-05
0.8137,-2.8615000000000003e-05
0.8147,-2.8472e-05
0.8157,-2.8319e-05
0.8167,-2.8157e-05
0.8177,-2.7987e-05
0.8187,-2.7810000000000003e-05
0.8197,-2.7626999999999998e-05
0.8207,-2.7439000000000003e-05
0.8217,-2.7248e-05
0.8227,-2.7053e-05
0.8237,-2.6856000000000002e-05
0.8247,-2.6658e-05
0.8257,-2.646e-05
0.8267,-2.6263000000000002e-05
0.8277,-2.6069e-05
0.8287,-2.5876e-05
0.8297,-2.5688e-05
0.8307,-2.5503000000000003e-05
0.8317,-2.5321e-05
0.8327,-2.514e-05
0.8337,-2.4959e-05
0.8347,-2.4778000000000002e-05
0.8357,-2.4596e-05
0.8367,-2.4411e-05
0.8377,-2.4224e-05
0.8387,-2.4032000000000003e-05
0.8397,-2.3834999999999998e-05
0.8407,-2.3632e-05
0.8417,-2.3422e-05
0.8427,-2.3204e-05
0.8437,-2.2977e-05
0.8447,-2.2741e-05
0.8457,-2.2494000000000002e-05
0.8467,-2.2235000000000003e-05
0.8477,-2.1964000000000002e-05
0.8487,-2.1680999999999998e-05
0.8497,-2.1391000000000002e-05
0.8507,-2.1095e-05
0.8517,-2.0796e-05
0.8527,-2.0497e-05
0.8537,-2.0201000000000002e-05
0.8547,-1.9911000000000003e-05
0.8557,-1.9630000000000003e-05
0.8567,-1.9359999999999998e-05
0.8577,-1.9104e-05
0.8587,-1.8865e-05
0.8597,-1.8646e-05
0.8607,-1.845e-05
0.8617,-1.8279e-05
0.8627,-1.8137e-05
0.8637,-1.8025e-05
0.8647,-1.7947999999999998e-05
0.8657,-1.7907e-05
0.8667,-1.7902999999999998e-05
0.8677,-1.7936000000000002e-05
0.8687,-1.8003000000000004e-05
0.8697,-1.8103000000000003e-05
0.8707,-1.8234000000000002e-05
0.8717,-1.8395000000000003e-05
0.8727,-1.8585000000000002e-05
0.8737,-1.8801e-05
0.8747,-1.9041e-05
0.8757,-1.9306e-05
0.8767,-1.9591999999999998e-05
0.8777,-1.9899e-05
0.8787,-2.0223999999999998e-05
0.8797,-2.0566000000000003e-05
0.8807,-2.0925e-05
0.8817,-2.1297e-05
0.8827,-2.1680999999999998e-05
0.8837,-2.2077e-05
0.8847,-2.2482e-05
0.8857,-2.2896e-05
0.8867,-2.3316000000000002e-05
0.8877,-2.3743e-05
0.8887,-2.4174999999999998e-05
0.8897,-2.4611000000000002e-05
0.8907,-2.505e-05
0.8917,-2.5489999999999998e-05
0.8927,-2.5932000000000002e-05
0.8937,-2.6373e-05
0.8947,-2.6812e-05
0.8957,-2.7249e-05
0.8967,-2.7682e-05
0.8977,-2.8111000000000002e-05
0.8987,-2.8533e-05
0.8997,-2.8949e-05
0.9007,-2.9357e-05
0.9017,-2.9755000000000002e-05
0.9027,-3.0144e-05
0.9037,-3.0524e-05
0.9047,-3.0897e-05
0.9057,-3.1265e-05
0.9067,-3.1629e-05
0.9077,-3.1991e-05
0.9087,-3.2352e-05
0.9097,-3.2713e-05
0.9107,-3.3077e-05
0.9117,-3.3445e-05
0.9127,-3.3818e-05
0.9137,-3.4198e-05
0.9147,-3.4587e-05
0.9157,-3.4985000000000005e-05
0.9167,-3.5395e-05
0.9177,-3.5818e-05
0.9187,-3.6256e-05
0.9197,-3.671e-05
0.9207,-3.7181e-05
0.9217,-3.7669e-05
0.9227,-3.8173e-05
0.9237,-3.8691999999999995e-05
0.9247,-3.9225000000000005e-05
0.9257,-3.9771e-05
0.9267,-4.0329e-05
0.9277,-4.0898e-05
0.9287,-4.1476e-05
0.9297,-4.2063999999999996e-05
0.9307,-4.2659000000000006e-05
0.9317,-4.3262e-05
0.9327,-4.387e-05
0.9337,-4.4483e-05
0.9347,-4.5101e-05
0.9357,-4.5721e-05
0.9367,-4.6342000000000005e-05
0.9377,-4.6965e-05
0.9387,-4.7588e-05
0.9397,-4.821e-05
0.9407,-4.8832e-05
0.9417,-4.9454e-05
0.9427,-5.0075000000000004e-05
0.9437,-5.0696e-05
0.9447,-5.1316e-05
0.9457,-5.1936000000000006e-05
0.9467,-5.2555e-05
0.9477,-5.3175e-05
0.9487,-5.3793000000000005e-05
0.9497,-5.4412e-05
0.9507,-5.503000000000001e-05
0.9517,-5.5647000000000004e-05
0.9527,-5.6264e-05
0.9537,-5.6881e-05
0.9547,-5.7497e-05
0.9557,-5.8113e-05
0.9567,-5.8729000000000006e-05
0.9577,-5.9344e-05
0.9587,-5.9959e-05
0.9597,-6.0574000000000007e-05
0.9607,-6.1189e-05
0.9617,-6.1803e-05
0.9627,-6.2418e-05
0.9637,-6.3033e-05
0.9647,-6.3648e-05
0.9657,-6.4263e-05
0.9667,-6.487900000000001e-05
0.9677,-6.5496e-05
0.9687,-6.611300000000001e-05
0.9697,-6.672999999999999e-05
0.9707,-6.734900000000001e-05
0.9717,-6.7968e-05
0.9727,-6.8588e-05
0.9737,-6.920900000000001e-05
0.9747,-6.9831e-05
0.9757,-7.0454e-05
0.9767,-7.1079e-05
0.9777,-7.1705e-05
